key,en,zh
Randomly select one from 'My Favorites' and automatically set it as the current wallpaper. This feature is only available to subscribed users.,Randomly select one from 'My Favorites' and automatically set it as wallpaper. This feature is only available to subscribed users.,从「我的收藏」里随机选择一张，并自动设置为当前壁纸。此功能仅开放给订阅用户使用。
Avatar,Avatar,头像
HTTP Protocol Request Not Supported,HTTP Protocol Request Not Supported,不支持HTTP协议请求
Number,Number,编号
Mobile Number,Mobile Number,手机号
"Add the wallpaper change action to desktop widget for use anytime
","Add the wallpaper change action to desktop widget for convenient use anytime.
","将更换壁纸的动作添加到桌面小组件随时使用
"
Live Photo Generated Successfully,Live Photo Generated Successfully,生成成功
Official Website,Official Website,官方网站
Resend in s seconds,Resend in s seconds,s后可重发
Wallpaper Save Failed,Wallpaper Failed to Save,壁纸保存失败
Network is Taking a Break...,Sorry, Network Sneaks off...,网络开小差了...
Privacy Policy,Privacy Policy,隐私政策
Delete,Delete,删除
🎉 Saved to Album,🎉 Saved to Photos,🎉 已下载到相册
Favourite,Favourite,我的收藏
"Save Failed, Image Does Not Exist!","Failed to Save, Image Does Not Exist!",保存失败，图片不存在！
WeChat Authorization Login,WeChat Authorization Sign In,微信授权登录
Login Successful,Sign In Successful,登录成功
"Set suitable shortcuts for lock screen or main screen wallpaper
","Set suitable shortcuts for Lock Screen or Home Screen wallpaper
","为锁屏或主屏壁纸单独设置适合的快捷指令
"
Rank,Rank,排行
Download,Download,下载
Account Logout Failed,Account Deletion Failed,账户删除失败
Restore Purchase Failed,Restore Purchase Failed,恢复购买失败
"Thank you for using boring day! Before logging out, please read the following important tips carefully and fully understand the impact of logging out. Please proceed with the account deletion process after cancelling the automatic subscription. Once the boring day account is logged out, it cannot be recovered. The avatar, username, favorites, member-related information redeemed with the redemption code bound to the account will be permanently deleted. The wallpapers saved in the local album will not be affected. Members purchased with Apple ID will not be affected, but you need to restore the purchase and register a new account to continue using! Please operate with caution!","Thank you for using Boring Day! Before deleting your account, please read the following important tips very carefully and fully understand the impact of Delete Account. Please cancel the automatic subscription before processing Delete Account. Once Boring Day account is deleted, it cannot be recovered. The Avatar, Username, Favorites, Membership redeemed with redemption code will be permanently deleted. Wallpapers saved in the Photos will not be affected. Membership purchased with Apple ID will not be affected, but you need to restore the purchase and register a new account to continue using! Please operate carefully!",感谢您使用boring day! 在删除账号前，请您仔细阅读以下重要提示并充分理解删除账号所带来的影响，请在取消自动订阅后再继续删除帐户的流程。boring day 账号一旦删除将不可恢复找回。账号绑定的头像、用户名、收藏、兑换码兑换过的会员等相关信息将被永久删除。你保存在本地相册的壁纸不会受到影响。使用Apple ID 购买的会员不会受到影响，但是需要你重新进行恢复购买再注册新的账号才能继续使用! 请谨慎操作!
Please select the shortcuts you want to install,Please select the shortcuts you want to install,请选择您想安装的快捷指令
Please Enter Verification Code,Please Enter Verification Code,请输入验证码
Redemption Failed,Redemption Failed,兑换失败
Please Enter SMS Verification Code,Please Enter SMS Verification Code,请输入短信验证码
Favorite,Favorite,收藏
Favorited,Favorited,已收藏
"Don't forget to automatically create a good 'boring day' album, you can always quickly find our app downloaded wallpaper products in this album","Don't forget the automatically created 'boring day' album, you can always find downloaded wallpapers from our app in this album quickly",别忘了⾃动创建好的「boring day」相簿，您总是能在这个相簿中快速找到我们App下载的壁纸产品
Step 1,Step 1,步骤1
Live Photo Generator,Live Photo Generator,Live Photo 生成器
Automatically set the latest downloaded picture in the iOS album as the current wallpaper.,Automatically set the latest downloaded picture in the iOS album as wallpaper.,将 iOS 相册中最新下载的图片，自动设置成当前壁纸。
Or,Or,或者
Home,Home,首页
"Through automation settings, your iPhone wallpaper can be automatically switched, even when running in the background. For example, your wallpaper in the Favorites will automatically loop at 7 am every day.
","Through automation settings, your iPhone wallpaper can be automatically switched even when running in background. For example, your wallpapers in Favorites will automatically loop at 7 am in the morning every day.
","通过自动化设置，你的iPhone 壁纸可以自动切换，即使在后台运行时。比如，每天早 7 点将自动轮播你收藏夹内的壁纸。
"
"Wallpaper Save Failed, Please Open Permissions","Wallpaper Failed to Save, Please Turn on Permissions","壁纸保存失败,请打开权限"
Forgot Password,Forgot Password?,忘记密码
Automatically Subscribe in 3 Days,Automatically Subscribe in 3 Days,3天后自动订阅
Success,Successfully,成功
Randomly set a Boring Day App's free picture and automatically set it as the current wallpaper. Subscribed users will be able to randomly access all wallpapers.,Randomly set a Boring Day App's free picture and automatically set it as wallpaper. Subscribed users will be able to access to all wallpapers.,随机设置一张 Boring Day App 内的免费图片并自动设置成当前壁纸，订阅用户将可以随机到全部壁纸。
Redemption Code Exchange,Redemption Code Redeem,优惠码兑换
Mobile Verification Code Login,Mobile Verification Code Sign In,手机验证码登录
Mobile Number Verification Login,Mobile Number Verification Sign In,手机号码验证登录
Purchase Failed,Purchase Failed,购买失败
Become a Pro Member,Become a Pro Member and Unlock All Features,一键解锁全部功能
I Have a Bottom Line,I Have a Bottom Line,我是有底线的
"Find and open the just downloaded wallpaper in the mobile photo, click the share button in the lower left corner","Find and open latest downloaded wallpapers in Photos, click Share button in the lower left corner",在⼿机照片中找到并打开刚下载的壁纸，点击左下⾓分享按钮
Ok,Ok,确定
Subscription Failed,Subscription Failed,订阅失败
"Set as Wallpaper Combination, or customize the desktop image from photos","Set as wallpaper combination, or customize the Home Screen by selecting images match to the wallpaper.",设为墙纸组合，或⾃定义主屏幕从照片中选择与之配套的桌⾯图片
No Verification Code Entered,Verification Code not Entered,未输入验证码
Change Mood,Change Mood,换一种心情
More Benefits,More Benefits,更多福利
Membership Plan,Membership Plan,会员计划
Done,Done,完成
Edit,Edit,编辑
Verification Code Sent Successfully,Verification Code Sent Successfully,验证码发送成功
Request Method Prohibited,Request Method Prohibited,请求方法被禁止
Free Download HD Wallpapers @Boring Day,Download HD Wallpapers For Free @Boring Day,高清壁纸免费下载 @Boring Day
Search History,Search History,搜索历史
Cancel,Cancel,取消
Image Download Failed,Image Download Failed,图片下载失败
"Unable to Store Images, Please Authorize First!","Unable to Save Images, Please Authorize the App First!",无法存储图片，请先授权！
How to Set Wallpaper,Setup Tutorial,如何设置壁纸
Request Canceled,Request Canceled,请求取消
No Video Selected,No Video Selected,未选择视频
"After confirming the subscription, the fee will be charged to your App Store account according to the above price
Renewal: Apple account will be deducted 24 hours before the expiration, and it will be automatically renewed through your iTunes account. If you want to upgrade to a one-time permanent purchase, please cancel the automatic renewal and make the purchase.
Cancel renewal: To cancel the renewal, please manage your subscription in the App Store 24 hours before the current subscription expires.","After confirmed the subscription, the fee will be charged to your App Store account according to the above price
Renewal: Payment will be deducted 24 hours before the expiration, and it will be automatically renewed through your iTunes account. If you want to upgrade to a permanent purchase, please cancel the automatic renewal first and make the purchase.
Cancel renewal: To cancel the renewal, please manage your subscription in the App Store 24 hours before the current subscription expires.","确认订阅后将按上述价格向您的 App Store 账户收取费用
续订: 苹果账户会在到期前 24小时内扣费，并通过您的iTunes账户自动续订。如需升级为一次性永久购买，请取消自动续订后进行购买。
取消续订: 如需取消续订，请在当前订阅到期 24小时以前，在 App Store 进行订阅管理。"
Ranking List,Ranking List,排行榜
Response Timeout,Response Timeout,响应超时
Randomly Select One of My Favorites,Randomly Select One of My Favorites,随机一张我的收藏
Restore Purchase,Restore Purchase,恢复购买
No Mobile Number Entered,No Mobile Number Entered,未输入手机号
Unknown Error,Unknown Error,未知错误
Verification Code Send Failed,Failed to Send Verification Code,验证码发送失败
Verification Code,Verification Code,验证码
How to Set Wallpaper?,How to Set Wallpaper?,如何设置壁纸？
Login Failed,Sign In Failed,登录失败
Get Verification Code,Get Verification Code,获取验证码
No Permission,No Permission,没有权限
Login,Sign In,登录
Failed to Get Data,Failed to Get Data,获取数据失败
Live Photo Saved to,Live Photo Saved to Photos,Live Photo 已保存到
Message,Message,消息
"Unable to Store Images, Please Authorize First","Unable to Save Images, Please Authorize the App First",无法存储图片，请先授权
My,My,我的
Save,Save,保存
No Available Purchase Records,No Available Purchase Records,没有可用的购买记录
Request Syntax Error,Request Syntax Error,请求语法错误
Multilingual,Multilingual,多语言
Set the Just Downloaded Image as Wallpaper,Set Latest Downloaded Image as Wallpaper,设置刚下载的图片为壁纸
Title,Title,标题
Server ProductID Configuration Error,Server ProductID Configuration Error,服务器 ProductID 配置错误
Apple ID Login,Apple ID Sign In,Apple ID 登录
Start Free Trial,Start Free Trial,开始免费试用
"Unregistered Mobile Number Login Will Be Automatically Registered, and Represents Your Agreement","Unregistered Mobile Number Will Be Automatically Registered When Signing In, and Represents You Have Agreed to It",未注册的手机号登录时将自动注册，且代表您已经同意
Contact Us,Contact Us,联系我们
Successfully Redeemed Monthly Membership,Successfully Redeemed Monthly Membership,成功兑换月度会员
Select Image,Select Image,选择图片
Server Internal Error,Server Internal Error,服务器内部错误
Refresh,Refresh,刷新
And,And,和
Send ,Send ,获取验证码 
ReSend, ReSend,后重新发送
"Unlock
All Features","Unlock
All Features","解锁
全部壁纸和功能"
Make Your iPhone More Elegant,Make Your iPhone More Elegant,让你的 iPhone 变得更优雅
Ad Free,No Ads In the App,全 App 无广告
Unlimited All Photos,Unlimited to Download All Photos,可以自由下载全部壁纸
Unlimited Widget,Unlimited Access to All Widget Features,畅享受 Widget 功能
Unlimited Live Photos,Unlimited to Download Live Photos,可以下载动图 Live Photos
Automatic Wallpaper Change Feature,Automatically Wallpaper Changing,自动更换壁纸功能
Your favorites and downloads history will be synchronized,Your favorites and downloads history will be synchronized After Signing in,登录后，你的收藏、下载记录将能得到同步
All that is beautiful is the fruit of creativity,All the good things in the world are fruits of creativity,世间美好皆是创造力的果实
"Ripe plums, fragrant jasmines","Plums ripe when jasmines fragrant",梅子熟时枙子香
"Spring flowers, Autumn moon","Flowers blossom Spring and the moon shines Autumn",春有百花秋有月
"Cool breezes in Summer, snow in Winter","Wind cools Summer and snow howls Winter",夏有凉风冬有雪
Dead bamboos keep their joints,Joints still kept when bamboos died,竹死不变节
Fallen flowers leave their scent,Scent still left after flowers fell,花落有余香
Unlock,Unlock Full Features,解锁全部功能
3 Days Free Trial,3 Days Free Trial | Become a Pro Member and Unlock All Features,3天免费试用 | 会员一键解锁全部功能
Pro Member,Membership,会员
My Favorites,Favorite,壁纸收藏
My Downloads,Download,壁纸下载
